😀,b'\\U0001F600',grinning face face grin
〰,b'\\U00003030',wavy dash dash punctuation wavy
©,b'\\U000000A9',copyright copyright
®,b'\\U000000AE',registered registered
™,b'\\U00002122',trade mark mark tm trademark
#️⃣,b'\\U00000023\\U0000FE0F\\U000020E3',keycap: # keycap
*️⃣,b'\\U0000002A\\U0000FE0F\\U000020E3',keycap: * keycap
0️⃣,b'\\U00000030\\U0000FE0F\\U000020E3',keycap: 0 keycap
1️⃣,b'\\U00000031\\U0000FE0F\\U000020E3',keycap: 1 keycap
2️⃣,b'\\U00000032\\U0000FE0F\\U000020E3',keycap: 2 keycap
3️⃣,b'\\U00000033\\U0000FE0F\\U000020E3',keycap: 3 keycap
4️⃣,b'\\U00000034\\U0000FE0F\\U000020E3',keycap: 4 keycap
5️⃣,b'\\U00000035\\U0000FE0F\\U000020E3',keycap: 5 keycap
6️⃣,b'\\U00000036\\U0000FE0F\\U000020E3',keycap: 6 keycap
7️⃣,b'\\U00000037\\U0000FE0F\\U000020E3',keycap: 7 keycap
8️⃣,b'\\U00000038\\U0000FE0F\\U000020E3',keycap: 8 keycap
9️⃣,b'\\U00000039\\U0000FE0F\\U000020E3',keycap: 9 keycap
🔟,b'\\U0001F51F',keycap 10 keycap 10
💯,b'\\U0001F4AF',hundred points 100 full hundred score
🔠,b'\\U0001F520',input latin uppercase ABCD input latin letters uppercase
🔡,b'\\U0001F521',input latin lowercase abcd input latin letters lowercase
🔢,b'\\U0001F522',input numbers 1234 input numbers
🔣,b'\\U0001F523',input symbols 〒♪&% input
🔤,b'\\U0001F524',input latin letters abc alphabet input latin letters
🅰,b'\\U0001F170',A button (blood type) a blood type
🆎,b'\\U0001F18E',AB button (blood type) ab blood type
🅱,b'\\U0001F171',B button (blood type) b blood type
🆑,b'\\U0001F191',CL button cl
🆒,b'\\U0001F192',COOL button cool
🆓,b'\\U0001F193',FREE button free
ℹ,b'\\U00002139',information i information
🆔,b'\\U0001F194',ID button id identity
Ⓜ,b'\\U000024C2',circled M circle m
🆕,b'\\U0001F195',NEW button new
🆖,b'\\U0001F196',NG button ng
🅾,b'\\U0001F17E',O button (blood type) blood type o
🆗,b'\\U0001F197',OK button OK
🅿,b'\\U0001F17F',P button parking
🆘,b'\\U0001F198',SOS button help sos
🆙,b'\\U0001F199',UP! button mark up
🆚,b'\\U0001F19A',VS button versus vs
🈁,b'\\U0001F201',Japanese “here” button “here” Japanese katakana ココ
🈂,b'\\U0001F202',Japanese “service charge” button “service charge” Japanese katakana サ
🈷,b'\\U0001F237',Japanese “monthly amount” button “monthly amount” ideograph Japanese 月
🈶,b'\\U0001F236',Japanese “not free of charge” button “not free of charge” ideograph Japanese 有
🈯,b'\\U0001F22F',Japanese “reserved” button “reserved” ideograph Japanese 指
🉐,b'\\U0001F250',Japanese “bargain” button “bargain” ideograph Japanese 得
🈹,b'\\U0001F239',Japanese “discount” button “discount” ideograph Japanese 割
🈚,b'\\U0001F21A',Japanese “free of charge” button “free of charge” ideograph Japanese 無
🈲,b'\\U0001F232',Japanese “prohibited” button “prohibited” ideograph Japanese 禁
🉑,b'\\U0001F251',Japanese “acceptable” button “acceptable” ideograph Japanese 可
🈸,b'\\U0001F238',Japanese “application” button “application” ideograph Japanese 申
🈴,b'\\U0001F234',Japanese “passing grade” button “passing grade” ideograph Japanese 合
🈳,b'\\U0001F233',Japanese “vacancy” button “vacancy” ideograph Japanese 空
㊗,b'\\U00003297',Japanese “congratulations” button “congratulations” ideograph Japanese 祝
㊙,b'\\U00003299',Japanese “secret” button “secret” ideograph Japanese 秘
🈺,b'\\U0001F23A',Japanese “open for business” button “open for business” ideograph Japanese 営
🈵,b'\\U0001F235',Japanese “no vacancy” button “no vacancy” ideograph Japanese 満
▪,b'\\U000025AA',black small square geometric square
▫,b'\\U000025AB',white small square geometric square
◻,b'\\U000025FB',white medium square geometric square
◼,b'\\U000025FC',black medium square geometric square
◽,b'\\U000025FD',white medium-small square geometric square
◾,b'\\U000025FE',black medium-small square geometric square
⬛,b'\\U00002B1B',black large square geometric square
⬜,b'\\U00002B1C',white large square geometric square
🔶,b'\\U0001F536',large orange diamond diamond geometric orange
🔷,b'\\U0001F537',large blue diamond blue diamond geometric
🔸,b'\\U0001F538',small orange diamond diamond geometric orange
🔹,b'\\U0001F539',small blue diamond blue diamond geometric
🔺,b'\\U0001F53A',red triangle pointed up geometric red
🔻,b'\\U0001F53B',red triangle pointed down down geometric red
💠,b'\\U0001F4A0',diamond with a dot comic diamond geometric inside
🔘,b'\\U0001F518',radio button button geometric radio
🔲,b'\\U0001F532',black square button button geometric square
🔳,b'\\U0001F533',white square button button geometric outlined square
⚪,b'\\U000026AA',white circle circle geometric
⚫,b'\\U000026AB',black circle circle geometric
🔴,b'\\U0001F534',red circle circle geometric red
🔵,b'\\U0001F535',blue circle blue circle geometric
🏁,b'\\U0001F3C1',chequered flag checkered chequered racing
🚩,b'\\U0001F6A9',triangular flag post
🎌,b'\\U0001F38C',crossed flags celebration cross crossed Japanese
🏴,b'\\U0001F3F4',black flag waving
🏳,b'\\U0001F3F3',white flag waving
🏳️‍🌈,b'\\U0001F3F3\\U0000FE0F\\U0000200D\\U0001F308',rainbow flag rainbow
🇦🇨,b'\\U0001F1E6\\U0001F1E8',Ascension Island flag
🇦🇩,b'\\U0001F1E6\\U0001F1E9',Andorra flag
🇦🇪,b'\\U0001F1E6\\U0001F1EA',United Arab Emirates flag
🇦🇫,b'\\U0001F1E6\\U0001F1EB',Afghanistan flag
🇦🇬,b'\\U0001F1E6\\U0001F1EC',Antigua & Barbuda flag
🇦🇮,b'\\U0001F1E6\\U0001F1EE',Anguilla flag
🇦🇱,b'\\U0001F1E6\\U0001F1F1',Albania flag
🇦🇲,b'\\U0001F1E6\\U0001F1F2',Armenia flag
🇦🇴,b'\\U0001F1E6\\U0001F1F4',Angola flag
🇦🇶,b'\\U0001F1E6\\U0001F1F6',Antarctica flag
🇦🇷,b'\\U0001F1E6\\U0001F1F7',Argentina flag
🇦🇸,b'\\U0001F1E6\\U0001F1F8',American Samoa flag
🇦🇹,b'\\U0001F1E6\\U0001F1F9',Austria flag
🇦🇺,b'\\U0001F1E6\\U0001F1FA',Australia flag
🇦🇼,b'\\U0001F1E6\\U0001F1FC',Aruba flag
🇦🇽,b'\\U0001F1E6\\U0001F1FD',Åland Islands flag
🇦🇿,b'\\U0001F1E6\\U0001F1FF',Azerbaijan flag
🇧🇦,b'\\U0001F1E7\\U0001F1E6',Bosnia & Herzegovina flag
🇧🇧,b'\\U0001F1E7\\U0001F1E7',Barbados flag
🇧🇩,b'\\U0001F1E7\\U0001F1E9',Bangladesh flag
🇧🇪,b'\\U0001F1E7\\U0001F1EA',Belgium flag
🇧🇫,b'\\U0001F1E7\\U0001F1EB',Burkina Faso flag
🇧🇬,b'\\U0001F1E7\\U0001F1EC',Bulgaria flag
🇧🇭,b'\\U0001F1E7\\U0001F1ED',Bahrain flag
🇧🇮,b'\\U0001F1E7\\U0001F1EE',Burundi flag
🇧🇯,b'\\U0001F1E7\\U0001F1EF',Benin flag
🇧🇱,b'\\U0001F1E7\\U0001F1F1',St. Barthélemy flag
🇧🇲,b'\\U0001F1E7\\U0001F1F2',Bermuda flag
🇧🇳,b'\\U0001F1E7\\U0001F1F3',Brunei flag
🇧🇴,b'\\U0001F1E7\\U0001F1F4',Bolivia flag
🇧🇶,b'\\U0001F1E7\\U0001F1F6',Caribbean Netherlands flag
🇧🇷,b'\\U0001F1E7\\U0001F1F7',Brazil flag
🇧🇸,b'\\U0001F1E7\\U0001F1F8',Bahamas flag
🇧🇹,b'\\U0001F1E7\\U0001F1F9',Bhutan flag
🇧🇻,b'\\U0001F1E7\\U0001F1FB',Bouvet Island flag
🇧🇼,b'\\U0001F1E7\\U0001F1FC',Botswana flag
🇧🇾,b'\\U0001F1E7\\U0001F1FE',Belarus flag
🇧🇿,b'\\U0001F1E7\\U0001F1FF',Belize flag
🇨🇦,b'\\U0001F1E8\\U0001F1E6',Canada flag
🇨🇨,b'\\U0001F1E8\\U0001F1E8',Cocos (Keeling) Islands flag
🇨🇩,b'\\U0001F1E8\\U0001F1E9',Congo - Kinshasa flag
🇨🇫,b'\\U0001F1E8\\U0001F1EB',Central African Republic flag
🇨🇬,b'\\U0001F1E8\\U0001F1EC',Congo - Brazzaville flag
🇨🇭,b'\\U0001F1E8\\U0001F1ED',Switzerland flag
🇨🇮,b'\\U0001F1E8\\U0001F1EE',Côte d’Ivoire flag
🇨🇰,b'\\U0001F1E8\\U0001F1F0',Cook Islands flag
🇨🇱,b'\\U0001F1E8\\U0001F1F1',Chile flag
🇨🇲,b'\\U0001F1E8\\U0001F1F2',Cameroon flag
🇨🇳,b'\\U0001F1E8\\U0001F1F3',China flag
🇨🇴,b'\\U0001F1E8\\U0001F1F4',Colombia flag
🇨🇵,b'\\U0001F1E8\\U0001F1F5',Clipperton Island flag
🇨🇷,b'\\U0001F1E8\\U0001F1F7',Costa Rica flag
🇨🇺,b'\\U0001F1E8\\U0001F1FA',Cuba flag
🇨🇻,b'\\U0001F1E8\\U0001F1FB',Cape Verde flag
🇨🇼,b'\\U0001F1E8\\U0001F1FC',Curaçao flag
🇨🇽,b'\\U0001F1E8\\U0001F1FD',Christmas Island flag
🇨🇾,b'\\U0001F1E8\\U0001F1FE',Cyprus flag
🇨🇿,b'\\U0001F1E8\\U0001F1FF',Czech Republic flag
🇩🇪,b'\\U0001F1E9\\U0001F1EA',Germany flag
🇩🇬,b'\\U0001F1E9\\U0001F1EC',Diego Garcia flag
🇩🇯,b'\\U0001F1E9\\U0001F1EF',Djibouti flag
🇩🇰,b'\\U0001F1E9\\U0001F1F0',Denmark flag
🇩🇲,b'\\U0001F1E9\\U0001F1F2',Dominica flag
🇩🇴,b'\\U0001F1E9\\U0001F1F4',Dominican Republic flag
🇩🇿,b'\\U0001F1E9\\U0001F1FF',Algeria flag
🇪🇦,b'\\U0001F1EA\\U0001F1E6',Ceuta & Melilla flag
🇪🇨,b'\\U0001F1EA\\U0001F1E8',Ecuador flag
🇪🇪,b'\\U0001F1EA\\U0001F1EA',Estonia flag
🇪🇬,b'\\U0001F1EA\\U0001F1EC',Egypt flag
🇪🇭,b'\\U0001F1EA\\U0001F1ED',Western Sahara flag
🇪🇷,b'\\U0001F1EA\\U0001F1F7',Eritrea flag
🇪🇸,b'\\U0001F1EA\\U0001F1F8',Spain flag
🇪🇹,b'\\U0001F1EA\\U0001F1F9',Ethiopia flag
🇪🇺,b'\\U0001F1EA\\U0001F1FA',European Union flag
🇫🇮,b'\\U0001F1EB\\U0001F1EE',Finland flag
🇫🇯,b'\\U0001F1EB\\U0001F1EF',Fiji flag
🇫🇰,b'\\U0001F1EB\\U0001F1F0',Falkland Islands flag
🇫🇲,b'\\U0001F1EB\\U0001F1F2',Micronesia flag
🇫🇴,b'\\U0001F1EB\\U0001F1F4',Faroe Islands flag
🇫🇷,b'\\U0001F1EB\\U0001F1F7',France flag
🇬🇦,b'\\U0001F1EC\\U0001F1E6',Gabon flag
🇬🇧,b'\\U0001F1EC\\U0001F1E7',United Kingdom flag
🇬🇩,b'\\U0001F1EC\\U0001F1E9',Grenada flag
🇬🇪,b'\\U0001F1EC\\U0001F1EA',Georgia flag
🇬🇫,b'\\U0001F1EC\\U0001F1EB',French Guiana flag
🇬🇬,b'\\U0001F1EC\\U0001F1EC',Guernsey flag
🇬🇭,b'\\U0001F1EC\\U0001F1ED',Ghana flag
🇬🇮,b'\\U0001F1EC\\U0001F1EE',Gibraltar flag
🇬🇱,b'\\U0001F1EC\\U0001F1F1',Greenland flag
🇬🇲,b'\\U0001F1EC\\U0001F1F2',Gambia flag
🇬🇳,b'\\U0001F1EC\\U0001F1F3',Guinea flag
🇬🇵,b'\\U0001F1EC\\U0001F1F5',Guadeloupe flag
🇬🇶,b'\\U0001F1EC\\U0001F1F6',Equatorial Guinea flag
🇬🇷,b'\\U0001F1EC\\U0001F1F7',Greece flag
🇬🇸,b'\\U0001F1EC\\U0001F1F8',South Georgia & South Sandwich Islands flag
🇬🇹,b'\\U0001F1EC\\U0001F1F9',Guatemala flag
🇬🇺,b'\\U0001F1EC\\U0001F1FA',Guam flag
🇬🇼,b'\\U0001F1EC\\U0001F1FC',Guinea-Bissau flag
🇬🇾,b'\\U0001F1EC\\U0001F1FE',Guyana flag
🇭🇰,b'\\U0001F1ED\\U0001F1F0',Hong Kong SAR China flag
🇭🇲,b'\\U0001F1ED\\U0001F1F2',Heard & McDonald Islands flag
🇭🇳,b'\\U0001F1ED\\U0001F1F3',Honduras flag
🇭🇷,b'\\U0001F1ED\\U0001F1F7',Croatia flag
🇭🇹,b'\\U0001F1ED\\U0001F1F9',Haiti flag
🇭🇺,b'\\U0001F1ED\\U0001F1FA',Hungary flag
🇮🇨,b'\\U0001F1EE\\U0001F1E8',Canary Islands flag
🇮🇩,b'\\U0001F1EE\\U0001F1E9',Indonesia flag
🇮🇪,b'\\U0001F1EE\\U0001F1EA',Ireland flag
🇮🇱,b'\\U0001F1EE\\U0001F1F1',Israel flag
🇮🇲,b'\\U0001F1EE\\U0001F1F2',Isle of Man flag
🇮🇳,b'\\U0001F1EE\\U0001F1F3',India flag
🇮🇴,b'\\U0001F1EE\\U0001F1F4',British Indian Ocean Territory flag
🇮🇶,b'\\U0001F1EE\\U0001F1F6',Iraq flag
🇮🇷,b'\\U0001F1EE\\U0001F1F7',Iran flag
🇮🇸,b'\\U0001F1EE\\U0001F1F8',Iceland flag
🇮🇹,b'\\U0001F1EE\\U0001F1F9',Italy flag
🇯🇪,b'\\U0001F1EF\\U0001F1EA',Jersey flag
🇯🇲,b'\\U0001F1EF\\U0001F1F2',Jamaica flag
🇯🇴,b'\\U0001F1EF\\U0001F1F4',Jordan flag
🇯🇵,b'\\U0001F1EF\\U0001F1F5',Japan flag
🇰🇪,b'\\U0001F1F0\\U0001F1EA',Kenya flag
🇰🇬,b'\\U0001F1F0\\U0001F1EC',Kyrgyzstan flag
🇰🇭,b'\\U0001F1F0\\U0001F1ED',Cambodia flag
🇰🇮,b'\\U0001F1F0\\U0001F1EE',Kiribati flag
🇰🇲,b'\\U0001F1F0\\U0001F1F2',Comoros flag
🇰🇳,b'\\U0001F1F0\\U0001F1F3',St. Kitts & Nevis flag
🇰🇵,b'\\U0001F1F0\\U0001F1F5',North Korea flag
🇰🇷,b'\\U0001F1F0\\U0001F1F7',South Korea flag
🇰🇼,b'\\U0001F1F0\\U0001F1FC',Kuwait flag
🇰🇾,b'\\U0001F1F0\\U0001F1FE',Cayman Islands flag
🇰🇿,b'\\U0001F1F0\\U0001F1FF',Kazakhstan flag
🇱🇦,b'\\U0001F1F1\\U0001F1E6',Laos flag
🇱🇧,b'\\U0001F1F1\\U0001F1E7',Lebanon flag
🇱🇨,b'\\U0001F1F1\\U0001F1E8',St. Lucia flag
🇱🇮,b'\\U0001F1F1\\U0001F1EE',Liechtenstein flag
🇱🇰,b'\\U0001F1F1\\U0001F1F0',Sri Lanka flag
🇱🇷,b'\\U0001F1F1\\U0001F1F7',Liberia flag
🇱🇸,b'\\U0001F1F1\\U0001F1F8',Lesotho flag
🇱🇹,b'\\U0001F1F1\\U0001F1F9',Lithuania flag
🇱🇺,b'\\U0001F1F1\\U0001F1FA',Luxembourg flag
🇱🇻,b'\\U0001F1F1\\U0001F1FB',Latvia flag
🇱🇾,b'\\U0001F1F1\\U0001F1FE',Libya flag
🇲🇦,b'\\U0001F1F2\\U0001F1E6',Morocco flag
🇲🇨,b'\\U0001F1F2\\U0001F1E8',Monaco flag
🇲🇩,b'\\U0001F1F2\\U0001F1E9',Moldova flag
🇲🇪,b'\\U0001F1F2\\U0001F1EA',Montenegro flag
🇲🇫,b'\\U0001F1F2\\U0001F1EB',St. Martin flag
🇲🇬,b'\\U0001F1F2\\U0001F1EC',Madagascar flag
🇲🇭,b'\\U0001F1F2\\U0001F1ED',Marshall Islands flag
🇲🇰,b'\\U0001F1F2\\U0001F1F0',Macedonia flag
🇲🇱,b'\\U0001F1F2\\U0001F1F1',Mali flag
🇲🇲,b'\\U0001F1F2\\U0001F1F2',Myanmar (Burma) flag
🇲🇳,b'\\U0001F1F2\\U0001F1F3',Mongolia flag
🇲🇴,b'\\U0001F1F2\\U0001F1F4',Macau SAR China flag
🇲🇵,b'\\U0001F1F2\\U0001F1F5',Northern Mariana Islands flag
🇲🇶,b'\\U0001F1F2\\U0001F1F6',Martinique flag
🇲🇷,b'\\U0001F1F2\\U0001F1F7',Mauritania flag
🇲🇸,b'\\U0001F1F2\\U0001F1F8',Montserrat flag
🇲🇹,b'\\U0001F1F2\\U0001F1F9',Malta flag
🇲🇺,b'\\U0001F1F2\\U0001F1FA',Mauritius flag
🇲🇻,b'\\U0001F1F2\\U0001F1FB',Maldives flag
🇲🇼,b'\\U0001F1F2\\U0001F1FC',Malawi flag
🇲🇽,b'\\U0001F1F2\\U0001F1FD',Mexico flag
🇲🇾,b'\\U0001F1F2\\U0001F1FE',Malaysia flag
🇲🇿,b'\\U0001F1F2\\U0001F1FF',Mozambique flag
🇳🇦,b'\\U0001F1F3\\U0001F1E6',Namibia flag
🇳🇨,b'\\U0001F1F3\\U0001F1E8',New Caledonia flag
🇳🇪,b'\\U0001F1F3\\U0001F1EA',Niger flag
🇳🇫,b'\\U0001F1F3\\U0001F1EB',Norfolk Island flag
🇳🇬,b'\\U0001F1F3\\U0001F1EC',Nigeria flag
🇳🇮,b'\\U0001F1F3\\U0001F1EE',Nicaragua flag
🇳🇱,b'\\U0001F1F3\\U0001F1F1',Netherlands flag
🇳🇴,b'\\U0001F1F3\\U0001F1F4',Norway flag
🇳🇵,b'\\U0001F1F3\\U0001F1F5',Nepal flag
🇳🇷,b'\\U0001F1F3\\U0001F1F7',Nauru flag
🇳🇺,b'\\U0001F1F3\\U0001F1FA',Niue flag
🇳🇿,b'\\U0001F1F3\\U0001F1FF',New Zealand flag
🇴🇲,b'\\U0001F1F4\\U0001F1F2',Oman flag
🇵🇦,b'\\U0001F1F5\\U0001F1E6',Panama flag
🇵🇪,b'\\U0001F1F5\\U0001F1EA',Peru flag
🇵🇫,b'\\U0001F1F5\\U0001F1EB',French Polynesia flag
🇵🇬,b'\\U0001F1F5\\U0001F1EC',Papua New Guinea flag
🇵🇭,b'\\U0001F1F5\\U0001F1ED',Philippines flag
🇵🇰,b'\\U0001F1F5\\U0001F1F0',Pakistan flag
🇵🇱,b'\\U0001F1F5\\U0001F1F1',Poland flag
🇵🇲,b'\\U0001F1F5\\U0001F1F2',St. Pierre & Miquelon flag
🇵🇳,b'\\U0001F1F5\\U0001F1F3',Pitcairn Islands flag
🇵🇷,b'\\U0001F1F5\\U0001F1F7',Puerto Rico flag
🇵🇸,b'\\U0001F1F5\\U0001F1F8',Palestinian Territories flag
🇵🇹,b'\\U0001F1F5\\U0001F1F9',Portugal flag
🇵🇼,b'\\U0001F1F5\\U0001F1FC',Palau flag
🇵🇾,b'\\U0001F1F5\\U0001F1FE',Paraguay flag
🇶🇦,b'\\U0001F1F6\\U0001F1E6',Qatar flag
🇷🇪,b'\\U0001F1F7\\U0001F1EA',Réunion flag
🇷🇴,b'\\U0001F1F7\\U0001F1F4',Romania flag
🇷🇸,b'\\U0001F1F7\\U0001F1F8',Serbia flag
🇷🇺,b'\\U0001F1F7\\U0001F1FA',Russia flag
🇷🇼,b'\\U0001F1F7\\U0001F1FC',Rwanda flag
🇸🇦,b'\\U0001F1F8\\U0001F1E6',Saudi Arabia flag
🇸🇧,b'\\U0001F1F8\\U0001F1E7',Solomon Islands flag
🇸🇨,b'\\U0001F1F8\\U0001F1E8',Seychelles flag
🇸🇩,b'\\U0001F1F8\\U0001F1E9',Sudan flag
🇸🇪,b'\\U0001F1F8\\U0001F1EA',Sweden flag
🇸🇬,b'\\U0001F1F8\\U0001F1EC',Singapore flag
🇸🇭,b'\\U0001F1F8\\U0001F1ED',St. Helena flag
🇸🇮,b'\\U0001F1F8\\U0001F1EE',Slovenia flag
🇸🇯,b'\\U0001F1F8\\U0001F1EF',Svalbard & Jan Mayen flag
🇸🇰,b'\\U0001F1F8\\U0001F1F0',Slovakia flag
🇸🇱,b'\\U0001F1F8\\U0001F1F1',Sierra Leone flag
🇸🇲,b'\\U0001F1F8\\U0001F1F2',San Marino flag
🇸🇳,b'\\U0001F1F8\\U0001F1F3',Senegal flag
🇸🇴,b'\\U0001F1F8\\U0001F1F4',Somalia flag
🇸🇷,b'\\U0001F1F8\\U0001F1F7',Suriname flag
🇸🇸,b'\\U0001F1F8\\U0001F1F8',South Sudan flag
🇸🇹,b'\\U0001F1F8\\U0001F1F9',São Tomé & Príncipe flag
🇸🇻,b'\\U0001F1F8\\U0001F1FB',El Salvador flag
🇸🇽,b'\\U0001F1F8\\U0001F1FD',Sint Maarten flag
🇸🇾,b'\\U0001F1F8\\U0001F1FE',Syria flag
🇸🇿,b'\\U0001F1F8\\U0001F1FF',Swaziland flag
🇹🇦,b'\\U0001F1F9\\U0001F1E6',Tristan da Cunha flag
🇹🇨,b'\\U0001F1F9\\U0001F1E8',Turks & Caicos Islands flag
🇹🇩,b'\\U0001F1F9\\U0001F1E9',Chad flag
🇹🇫,b'\\U0001F1F9\\U0001F1EB',French Southern Territories flag
🇹🇬,b'\\U0001F1F9\\U0001F1EC',Togo flag
🇹🇭,b'\\U0001F1F9\\U0001F1ED',Thailand flag
🇹🇯,b'\\U0001F1F9\\U0001F1EF',Tajikistan flag
🇹🇰,b'\\U0001F1F9\\U0001F1F0',Tokelau flag
🇹🇱,b'\\U0001F1F9\\U0001F1F1',Timor-Leste flag
🇹🇲,b'\\U0001F1F9\\U0001F1F2',Turkmenistan flag
